Hour,Price,Uni Value,Debt Value,Net PnL
40,2952.3405860305184,9928.974355926795,4920.567643384197,8.406712542598143
41,2953.352634517052,9930.929656880186,4922.254390861754,8.675266018432012
42,2952.6696131914027,9929.992534822362,4921.116021985671,8.87651283669129
43,2950.892029017515,9927.185904144171,4918.153381695859,9.032522448312193
44,2942.1790002589046,9912.499023056696,4903.631667098174,8.86735595852224
45,2937.946226900605,9905.458070459184,4896.577044834342,8.88102562484255
46,2935.2408094339235,9901.032093985776,4892.068015723206,8.964078262569274
47,2941.453190964304,9911.938560064827,4902.421984940507,9.516575124320298
48,2943.47535996762,9915.635525463862,4905.792266612701,9.843258851161409
49,2933.1147064386478,9898.054944767917,4888.52451073108,9.530434036836596
50,2935.0164736178285,9901.559115199598,4891.694122696381,9.864992503216854
51,2932.7568981785403,9897.894880264377,4887.928163630901,9.966716633476608
52,2928.7890893498247,9891.277236038923,4881.315148916375,9.962087122547928
53,2932.3742235262116,9897.6918361746,4887.290372543686,10.401463630912986
54,2938.42701465482,9908.339333243826,4897.378357758033,10.960975485792915
55,2943.9051120347585,9917.970406858482,4906.5085200579315,11.461886800550019
56,2938.968102904906,9909.725840664534,4898.280171508177,11.445669156357326
57,2937.151134172733,9906.830605650131,4895.251890287888,11.578715362243202
58,2939.0977204608967,9910.405178369447,4898.4962007681615,11.908977601285187
59,2944.8377632294028,9920.481913297928,4908.062938715671,12.418974582256851
60,2942.0169343322873,9915.873946210186,4903.361557220479,12.512388989706778
61,2940.9247134187426,9914.227823784615,4901.541189031238,12.686634753376893
62,2934.4246116279323,9903.279672384531,4890.707686046554,12.57198633797725
63,2927.412646415076,9891.410596443931,4879.02107735846,12.389519085470965
64,2932.1737105909433,9899.857551567915,4886.956184318239,12.901367249675786
65,2940.1379698691094,9913.790248318366,4900.229949781849,13.560298536516711
66,2939.7145609742206,9913.291357121892,4899.524268290368,13.767088831524234
67,2945.620686527569,9923.649500784231,4909.367810879282,14.281689904949417
68,2947.751942286269,9927.525872997614,4912.919903810448,14.60596918716601
69,2943.951088799927,9921.245560761728,4906.585147999879,14.66041276184933
